oid,tid,sid,meanra,meandec,sigmara,sigmadec,firstmjd,lastmjd,deltamjd,n_det,n_forced,n_non_det,created_date,updated_date,classifier_id,classifier_version,class_id,probability,ranking
170028538735362160,1,1,187.4579064588916,7.98199654933846,0.00011116672307786763,0.0001105240348240504,61090.33567374662,61095.21655394352,4.880880196906219,10,151,0,2026-02-20,2026-02-24,1,201,0,0.98722166,1
313690716849569816,1,1,8.021424928704512,-43.272451712831995,1.1189306448573074e-06,1.1199921917813439e-06,60987.27835351133,61056.11681580424,68.83846229291521,18,0,0,2026-02-13,2026-02-24,1,201,0,0.98703605,1
170028485646483572,1,1,62.1513815120423,-49.00144047245629,1.336708878869652e-07,1.2768306516854623e-07,61090.04758412875,61107.036609913,16.989025784248952,433,496,0,2026-02-19,2026-03-08,1,201,0,0.98698086,1
170032917828862000,1,1,186.47545639433164,7.555399359774066,2.1497911921128445e-05,2.0065784593450107e-05,61090.31436872244,61095.20080128292,4.886432560480898,13,174,0,2026-02-20,2026-02-24,1,201,0,0.98697597,1
313765480585756826,1,1,59.23164102697646,-47.930114677027014,2.1140162107433257e-07,2.0541418572026e-07,61004.30177726407,61095.09443342907,90.79265616500197,94,175,0,2026-02-13,2026-02-24,1,201,0,0.98686606,1
170028530412290094,1,1,187.42225678952752,8.56594928735308,1.1507192855217628e-06,1.18875262555381e-06,61090.26281811891,61095.21608830271,4.953270183803397,11,40,0,2026-02-20,2026-02-24,1,201,0,0.9868478,1
313897384103903264,1,1,64.31181259014045,-49.09381404859425,7.179665228543744e-07,8.403970588828504e-07,61034.16176667064,61095.089601289816,60.92783461917861,22,141,0,2026-02-13,2026-02-24,1,201,0,0.9866475,1
170028513826963542,1,1,148.78395465943632,2.6431515852162097,6.94084225852079e-06,4.209674231591945e-06,61090.193787357464,61109.14520318322,18.951415825758886,17,967,0,2026-02-24,2026-03-10,1,201,0,0.986283,1
170032922554269732,1,1,186.97860980535052,8.090520217764038,1.348291372849947e-05,1.4406330250569837e-05,61091.25810674523,61095.21608830271,3.9579815574834356,13,185,0,2026-02-20,2026-02-24,1,201,0,0.9859969,1
170028510900387871,1,1,150.11276059230295,3.3743913365398885,2.625522007879601e-07,2.713209329970884e-07,61090.181996839354,61108.21165334058,18.029656501224963,129,1034,0,2026-02-19,2026-03-09,1,201,0,0.98562455,1
170028529194369147,1,1,186.46052304075496,6.315815987979619,2.326404497936381e-05,2.793778083290207e-05,61090.25865463237,61095.32848646294,5.069831830565818,12,262,0,2026-02-20,2026-02-24,1,201,0,0.9853313,1
313853517427113991,1,1,150.9413454087311,2.8547156339553146,5.305153330330407e-07,5.407373057362937e-07,61024.24593270644,61095.16411102216,70.91817831571825,240,399,0,2026-02-13,2026-02-24,1,201,0,0.98524624,1
170028528256942119,1,1,186.86015390242042,6.263015568052161,1.539806046783254e-05,1.5549703249008824e-05,61090.2484597937,61095.21421834042,4.96575854672119,27,239,0,2026-02-20,2026-02-24,1,201,0,0.984968,1
