tns_name,tns_redshift,mB_eff,e_mB_eff
2020aaly,0.06,19.162249352513374,0.24288670112130184
2020aaly,0.06,19.415309266350807,0.26718180909567674
2020aaly,0.06,19.365112326256813,0.2563133747917863
2020ukg,0.06,18.2061932616433,0.1969838432649205
2020ukg,0.06,18.105663036503685,0.18646800470982286
2020ukg,0.06,18.013367678875817,0.18649524656755628
2020ukg,0.06,18.00862761602677,0.18579425733307275
2020ukg,0.06,18.011966453736196,0.18128695267011738
2020ukg,0.06,18.14011073848046,0.18366531554530718
2020ukg,0.06,18.593784900771034,0.2072521115383254
2020ukg,0.06,18.698447036503683,0.19941770533897038
2020ukg,0.06,18.51706875175942,0.2694563580622919
2020ukg,0.06,18.825435695399175,0.24229978194147417
2020ukg,0.06,18.91649561602677,0.21440641498907434
2020ukg,0.06,18.984132420689473,0.21556067541392773
2020ukg,0.06,19.14050033452691,0.21333702782054215
2020ukg,0.06,19.380342990178,0.22656307681245258
2021yzz,0.0533,17.705940223769183,0.19265072576293465
2021yzz,0.0533,17.79011543334722,0.18393176039034181
2021yzz,0.0533,17.743958022603508,0.18619810172425408
2021yzz,0.0533,17.77615443887424,0.183929986059909
2021yzz,0.0533,17.891456890115254,0.17974734431240483
2021yzz,0.0533,18.125312643284314,0.18946660387865846
2020neh,0.062,19.042951393521015,0.1965266761589388
2020neh,0.062,18.224596536043826,0.18402876596063675
2020neh,0.062,18.036746838933652,0.18752367130910805
2020neh,0.062,17.999533782573405,0.18712579570708043
2020neh,0.062,17.92843268829984,0.1853197507103115
2020neh,0.062,18.06974607735223,0.18102203137765757
2020neh,0.062,18.29495256909055,0.18487796588241673
2020neh,0.062,18.39263680588693,0.1881945993100261
2020neh,0.062,18.96238446640462,0.20802980914425517
2020neh,0.062,18.663906506241506,0.196201708389983
2020neh,0.062,18.972959627072996,0.21597577570651272
2021owq,0.089,19.09782531168194,0.24975730448100875
2021owq,0.089,18.897894699112133,0.22164950055944974
2021owq,0.089,18.75255419247265,0.20478380492732579
2021owq,0.089,18.622147132868005,0.19526773476539452
2021owq,0.089,18.60461566606541,0.2088526246822802
2021owq,0.089,18.583267748682214,0.27406896951867993
2021owq,0.089,18.52271969911213,0.19188077550656035
2021owq,0.089,18.670922666065408,0.21834999707740435
2021owq,0.089,18.493262030182077,0.33369220432668767
2021owq,0.089,18.783198099821284,0.19723257680906134
2021owq,0.089,18.912332745437816,0.22118069705233293
2021owq,0.089,19.3307115964262,0.2798515004782119
2021owq,0.089,19.38617728187962,0.21787745776935138
2021owq,0.089,19.438493983856393,0.21603687687514095
2021fg,0.083,19.136405605990905,0.28084262553917144
2021fg,0.083,18.802904905520936,0.25928888920587967
2021fg,0.083,18.4382311578212,0.23433392454280955
2021fg,0.083,18.35854499998047,0.23725358330141294
2021fg,0.083,18.164336302684326,0.22569168454738278
2021fg,0.083,18.164680818454286,0.23456948313531403
2021fg,0.083,18.05509209082367,0.2140415036121064
2021fg,0.083,18.715771269637603,0.22879375857572531
2021fg,0.083,18.797220885753173,0.2935837057948191
2021fg,0.083,18.811388673289795,0.2537517863909664
2021fg,0.083,18.891538249869843,0.2550051027280521
2020acts,0.06,19.00993019205776,0.23205586163245195
2020acts,0.06,18.409091834731253,0.26981522650910883
2020acts,0.06,17.6855286957542,0.18905958773103632
2020acts,0.06,17.773066204015883,0.18090191829158253
2020acts,0.06,17.840964250341568,0.17997186531171686
2020acts,0.06,17.936645942283782,0.1835222572993621
2020acts,0.06,17.91594793903938,0.1818202887407687
2020acts,0.06,18.24912517421356,0.17803604251640534
2020acts,0.06,18.35116595394054,0.18565881427975445
2020acts,0.06,18.462487720689925,0.18556977979722622
2020acts,0.06,18.461881641016156,0.18750674947872584
2020acts,0.06,19.123368649428517,0.20772938060439622
2020acts,0.06,19.259475364382894,0.20845009209109405
2020acts,0.06,19.28165579195133,0.23035229763195994
2020acts,0.06,19.413021165801197,0.20810832552713554
2020acts,0.06,19.74078777572933,0.2567011791770056
2020ymu,0.05,19.253485424837265,0.25537470091518105
2020ymu,0.05,18.727094434871827,0.2241697810824213
2020ymu,0.05,18.22400889488426,0.21718939783399951
2020ymu,0.05,18.084529656767042,0.19617295118252315
2020ymu,0.05,18.073686691435967,0.18597383174184814
2020ymu,0.05,18.11995862696472,0.18559935260587054
2020ymu,0.05,18.231173287482413,0.18596694299323238
2020ymu,0.05,18.618029287482415,0.19537998486473462
2020ymu,0.05,18.932284287482414,0.23743205320637428
2020ymu,0.05,19.116929335430296,0.21532491618563437
2020ymu,0.05,19.773604540802154,0.2708828169832161
2020mes,0.08,19.262023893484237,0.22820722623646175
2020mes,0.08,19.103320073920372,0.21619493304559737
2020mes,0.08,18.89037814680398,0.2090136898105246
2020mes,0.08,18.845686924908758,0.18906390634178005
2020mes,0.08,18.69103631071675,0.18619625545043275
2020mes,0.08,18.59147208719933,0.19971628885237971
2020mes,0.08,18.642726714670303,0.1867202635473567
2020mes,0.08,18.659752252734307,0.19390337769814456
2020mes,0.08,18.645967237833144,0.1865170109215509
2020mes,0.08,18.65244966996682,0.19108013471368074
2020mes,0.08,18.712823997792366,0.18633614523046627
2020mes,0.08,18.805423537478568,0.2049392429264012
2020mes,0.08,18.74057980245507,0.19891480166156258
2020mes,0.08,18.837288474629524,0.19254154293577794
2020mes,0.08,18.832893057397012,0.1923469619813496
2020mes,0.08,19.015038653443458,0.1988077272608372
2020mes,0.08,19.077682131902815,0.2200170114772138
2020mes,0.08,19.058486744472624,0.2296121555021536
2020mes,0.08,19.032751507676245,0.2167267282652926
2020mes,0.08,19.083953461350564,0.22942273889099335
2020mes,0.08,19.21086526601327,0.22430612636084318
2020mes,0.08,19.237240506054047,0.20686659184826287
2020mes,0.08,19.345629726327065,0.21459780547472102
2020mes,0.08,19.35247868324578,0.21281463154188748
2020mes,0.08,19.59104569490254,0.2034095969445577
2020mes,0.08,19.643033595461013,0.2235094895899796
2020cli,0.05351,18.195044882922854,0.1921670596966447
2020cli,0.05351,17.800026990475384,0.18559366245294068
2020cli,0.05351,17.7566499425275,0.18184104447226743
2020cli,0.05351,17.90911182494041,0.1852939506277335
2020cli,0.05351,18.081464911102977,0.18645086371601555
2020cli,0.05351,18.376318897824017,0.19778102886603044
2020cli,0.05351,19.147734745568005,0.21039558618833795
2020cli,0.05351,19.441778871567458,0.23385063915268267
2020cli,0.05351,20.05949143883106,0.26644077760749857
2020cli,0.05351,20.16230295256206,0.26774591303053075
2019qih,0.03,18.68551237887603,0.24757447147793535
2019qih,0.03,18.394787339039148,0.20302679397454865
2019qih,0.03,17.9616300112136,0.18696804425377483
2019qih,0.03,17.81885225287658,0.18232977761188407
2019qih,0.03,17.643165226318658,0.18413761600735604
2019qih,0.03,17.55763886544639,0.17762257102206347
2019qih,0.03,17.539375315725625,0.183231909759006
2019qih,0.03,17.625384789318385,0.17854832971176712
2019qih,0.03,17.901476656830134,0.1861272653760666
2019qih,0.03,17.980417670109095,0.18327421545288528
2019qih,0.03,18.010439911772075,0.18378314175442045
2019qih,0.03,18.295273064329447,0.3454512090329552
2019qih,0.03,18.38797720685226,0.38183176573878125
2019qih,0.03,18.711944805841746,0.21108452442576509
2019qih,0.03,18.706746130422893,0.19678999409593867
2019qih,0.03,19.075247554144205,0.23908746906357167
2019qih,0.03,18.90433535910827,0.24903995606723303
2019qih,0.03,19.387172468282998,0.27559724827024096
2019qih,0.03,19.219689068176567,0.2815413286225501
2019qih,0.03,19.537307421655953,0.2560493631074155
2019qih,0.03,19.52596615019065,0.28583796516961146
2019qih,0.03,19.545244259365383,0.26819465611004506
2023ozc,0.049,19.59171464457659,0.22509763405743502
2023ozc,0.049,18.708240220252556,0.21527821765391744
