oid,ndethist,ncovhist,mjdstarthist,mjdendhist,corrected,stellar,ndet,g_r_max,g_r_max_corr,g_r_mean,g_r_mean_corr,firstmjd,lastmjd,deltajd,meanra,meandec,sigmara,sigmadec,class,classifier,probability,step_id_corr,tns_match,tns_sep_arcsec,tns_name,tns_name_prefix,tns_type,tns_redshift,tns_full_name
ZTF25abweiaq,103,3011,60954.51189809991,61031.4308449002,False,False,33,,,,,60954.51189809991,61031.4308449002,76.91894680028781,151.37936333695046,39.67971092378327,0.01685404518332594,0.012971306147207437,SNIa,lc_classifier_BHRF_forced_phot,0.699504,27.5.7a32.dev1,True,0.17650457656757204,2025zri,SN,SN Ia,0.028804,SN 2025zri
ZTF25acekiok,40,2866,61003.39731479995,61031.3817245001,False,False,22,,,,,61003.39731479995,61031.3817245001,27.984409700147808,118.32073525650691,32.78890519201278,0.018301862815618988,0.015385853748749262,SNIa,lc_classifier_BHRF_forced_phot,0.646,27.5.7a32.dev1,True,0.3333017553473869,2025advx,SN,SN Ia,0.0755,SN 2025advx
ZTF25abtsusb,46,2057,60943.4700230998,61031.36166669987,False,False,41,,,,,60943.4700230998,61031.36166669987,87.89164360007271,105.35494871071334,56.53484538871164,0.021019096172195748,0.011590554653252417,SNIa,lc_classifier_BHRF_forced_phot,0.64894,27.5.7a32.dev1,True,0.03752319894684987,2025ytn,SN,SN Ia,0.046,SN 2025ytn
ZTF25abxedzr,48,1410,60964.47712960001,61031.35591439996,False,False,44,,,,,60964.47712960001,61031.35591439996,66.87878479994833,90.71657616382758,-23.691104158296802,0.012093576888120962,0.011074390316149967,SNIa,lc_classifier_BHRF_forced_phot,0.69438,27.5.7a32.dev1,True,0.06777677495548,2025aano,SN,SN Ia,0.038733,SN 2025aano
ZTF25acczido,48,2188,60986.19277779991,61031.17531249998,False,False,27,,,,,60986.19277779991,61031.17531249998,44.9825347000733,9.302473706590197,9.503490330769921,0.014179709910683931,0.013985100827976108,SNIa,lc_classifier_BHRF_forced_phot,0.636,27.5.7a32.dev1,True,0.1084454726614938,2025acua,SN,SN Ia,0.091,SN 2025acua
ZTF25abuvxsy,100,1398,60949.421122699976,61031.17269679997,False,False,31,,,,,60949.421122699976,61031.17269679997,81.7515740999952,65.85647976774925,5.816707882333084,0.013590906739668342,0.013520929558797998,SNIa,lc_classifier_BHRF_forced_phot,0.598728,27.5.7a32.dev1,True,0.004189753888088866,2025zia,SN,SN Ia,0.0694,SN 2025zia
ZTF25abwkmwj,66,1469,60959.369641200174,61031.15158559987,False,False,44,,,,,60959.369641200174,61031.15158559987,71.78194439969957,57.6817182046937,-2.4523709997017535,0.011220609929166627,0.01121033311739839,SNIa,lc_classifier_BHRF_forced_phot,0.770904,27.5.7a32.dev1,True,0.10080277915224241,2025zwm,SN,SN Ia,0.047,SN 2025zwm
ZTF25acdksaz,24,2478,60988.49043980008,61030.50717590004,False,False,24,,,,,60988.49043980008,61030.50717590004,42.016736099962145,174.9842127199005,1.1797677710813372,0.01524497340917228,0.015241741546528579,SNIa,lc_classifier_BHRF_forced_phot,0.624,27.5.7a32.dev1,True,0.11629452214218233,2025acva,AT,,,AT 2025acva
ZTF25acdgvbx,45,1016,60987.37644679984,61030.29412040021,False,False,35,,,,,60987.37644679984,61030.29412040021,42.91767360037193,81.67415254684633,-22.082989197687965,0.0129840015200057,0.01203149858663686,SNIa,lc_classifier_BHRF_forced_phot,0.676,27.5.7a32.dev1,True,0.017652951370835963,2025acsy,SN,SN Ia,0.055945,SN 2025acsy
ZTF25abymflq,60,2094,60967.23320600018,61030.16987269977,False,False,29,,,,,60967.23320600018,61030.16987269977,62.936666699592024,9.07641583384988,-4.181625555765496,0.013783835423942037,0.013747141412771613,SNIa,lc_classifier_BHRF_forced_phot,0.612,27.5.7a32.dev1,True,0.07780353063981402,2025abbz,AT,,,AT 2025abbz
ZTF25abxhgoi,51,821,60965.29356480017,61030.16888889996,False,False,49,,,,,60965.29356480017,61030.16888889996,64.8753240997903,14.835473965807514,-23.403300669599272,0.01139711601927838,0.01045949497906557,SNIa,lc_classifier_BHRF_forced_phot,0.676644,27.5.7a32.dev1,True,0.020073624637083766,2025aanv,SN,SN Ia,0.051,SN 2025aanv
ZTF25abxublf,41,737,60967.29324069992,61030.16888889996,False,False,37,,,,,60967.29324069992,61030.16888889996,62.87564820004627,18.63935700815005,-26.381760819991786,0.013745057198775506,0.012313554077206183,SNIa,lc_classifier_BHRF_forced_phot,0.733096,27.5.7a32.dev1,True,0.013990551051531646,2025aawj,SN,SN Ia,0.057069,SN 2025aawj
ZTF25acddazz,27,2370,60987.09320600005,61030.15474539995,False,False,27,,,,,60987.09320600005,61030.15474539995,43.06153939990327,345.6156713409746,40.902258171010324,0.01868346254980935,0.014121477561711164,SNIa,lc_classifier_BHRF_forced_phot,0.667968,27.5.7a32.dev1,True,0.09277745652545803,2025actq,SN,SN Ia,0.064,SN 2025actq
ZTF25abzqhgf,82,3412,60970.280798600055,61030.15332179982,False,False,34,,,,,60972.21967589995,61030.15332179982,57.93364589987323,347.80896623143434,35.39271672668885,0.015244702077408433,0.012427502640840913,SNIa,lc_classifier_BHRF_forced_phot,0.732,27.5.7a32.dev1,True,0.14284063856200024,2025abnx,SN,SN Ia,0.065,SN 2025abnx
ZTF25acbyrqc,106,3834,60979.10775459977,61030.15094910003,False,False,34,,,,,60980.1846758998,61030.15094910003,49.966273200232536,321.94279620905485,9.167205399460345,0.012684921414615899,0.012522904537796864,SNIa,lc_classifier_BHRF_forced_phot,0.643416,27.5.7a32.dev1,True,0.05107135784462501,2025accx,SN,SN Ia,0.035,SN 2025accx
ZTF25acayrnp,61,2365,60974.25965279993,61030.145960600115,False,False,37,,,,,60974.25965279993,61030.145960600115,55.88630780018866,355.980696619801,30.367052505253643,0.013962861286686917,0.01204721956130034,SNIa,lc_classifier_BHRF_forced_phot,0.72,27.5.7a32.dev1,True,0.11084266261936906,2025abxg,SN,SN Ia,0.054895,SN 2025abxg
ZTF25absdyqi,64,911,60938.29241900006,61030.08550930023,False,False,57,,,,,60938.29241900006,61030.08550930023,91.79309030016884,359.38201636040714,-22.003311166704687,0.010360421005337307,0.009605790552269827,SNIa,lc_classifier_BHRF_forced_phot,0.774648,27.5.7a32.dev1,True,0.0666019563698205,2025xxq,SN,SN Ia,0.033603,SN 2025xxq
ZTF25acateof,90,2903,60973.4916087999,61029.45516199991,False,False,28,,,,,60973.4916087999,61029.45516199991,55.96355320001021,150.9449012035818,41.60261810865582,0.018454351581704005,0.013799568696849979,SNIa,lc_classifier_BHRF_forced_phot,0.75438,27.5.7a32.dev1,True,0.214200754692743,2025abwp,SN,SN Ia,0.068,SN 2025abwp
ZTF21aavqphe,270,2085,58507.53603010019,61028.564641200006,False,False,81,,,,,59320.363865700085,61028.564641200006,1708.2007754999213,224.436702129959,6.624347400026994,0.008261986860017358,0.008206828274171064,SNIa,lc_classifier_BHRF_forced_phot,0.762144,27.5.7a32.dev1,True,0.1304663660211412,2021jvs,SN,SN Ia,0.021,SN 2021jvs
ZTF25acauqtp,38,2606,60976.14028939977,61028.11569439992,False,False,32,,,,,60976.14028939977,61028.11569439992,51.975405000150204,309.779210906378,20.181363327994138,0.013641415929812018,0.012803904761006204,SNIa,lc_classifier_BHRF_forced_phot,0.706584,27.5.7a32.dev1,True,0.010414425711734633,2025abvs,SN,SN Ia,0.052,SN 2025abvs
ZTF25abewmjr,236,3446,60884.32471060008,61026.14177080011,False,False,82,,,,,60884.33099539997,61026.14177080011,141.8107754001394,337.9813936496925,32.67869730387522,0.009519552900862798,0.008012717801402645,SNIa,lc_classifier_BHRF_forced_phot,0.6762,27.5.7a32.dev1,True,0.2695398238159987,2025snb,SN,SN Ia,0.011,SN 2025snb
ZTF25acdjiob,36,6364,58284.327048600186,61026.09530089982,True,False,33,,,,,60988.1026504999,61026.09530089982,37.992650399915874,287.9289781996698,49.364715214871104,0.019755144008420145,0.012865372904621081,SNIa,lc_classifier_BHRF_forced_phot,0.664,27.5.7a32.dev1,True,0.9039324394751552,2025acuj,SN,SN Ia,0.058,SN 2025acuj
